Expt,radius,yAxis,date,name,xAxis
1,1,850,4/4/2013 8:32,one,158
1,5,740,4/4/2013 8:32,two,158
1,3,900,4/4/2013 8:32,three,158
1,4,1070,4/4/2013 8:32,four,158
1,5,930,4/4/2013 8:32,five,158
1,6,850,4/4/2013 8:32,six,158
1,7,950,4/4/2013 8:32,seven,158
1,8,980,4/4/2013 8:32,eight,158
1,9,980,4/4/2013 8:32,nine,158
1,10,880,4/4/2013 8:32,ten,158
1,11,1000,4/4/2013 8:32,eleven,158
1,12,980,4/4/2013 8:32,twelve,31
1,13,930,4/4/2013 8:32,thirteen,31
1,14,650,4/4/2013 8:32,fourteen,31
1,15,760,4/4/2013 8:32,fifteen,31
1,16,810,4/4/2013 8:32,sixteen,31
1,17,1000,4/4/2013 8:32,seventeen,31
1,18,1000,4/4/2013 8:32,eighteen,31
1,19,960,4/4/2013 8:32,nineteen,31
1,20,960,4/4/2013 8:32,twenty,31
2,1,960,4/4/2013 8:32,one,31
2,3,940,4/4/2013 8:32,two,31
2,3,960,4/4/2013 8:32,three,31
2,4,940,4/4/2013 8:32,four,31
2,5,880,4/4/2013 8:32,five,31
2,6,800,4/4/2013 8:32,six,31
2,7,850,4/4/2013 8:32,seven,219
2,8,880,12/31/2012 8:59,eight,219
2,9,900,12/31/2012 8:59,nine,219
2,10,840,12/31/2012 8:59,ten,219
2,11,830,12/31/2012 8:59,eleven,219
2,12,790,12/31/2012 8:59,twelve,219
2,13,810,12/31/2012 8:59,thirteen,219
2,14,880,12/31/2012 8:59,fourteen,219
2,15,880,12/31/2012 8:59,fifteen,219
2,16,830,12/31/2012 8:59,sixteen,219
2,17,800,12/31/2012 8:59,seventeen,219
2,18,790,12/31/2012 8:59,eighteen,219
2,19,760,12/31/2012 8:59,nineteen,219
2,20,800,12/31/2012 8:59,twenty,219
3,1,880,12/31/2012 8:59,one,219
3,8,880,12/31/2012 8:59,two,219
3,3,880,12/31/2012 8:59,three,219
3,4,860,12/31/2012 8:59,four,219
3,5,720,12/31/2012 8:59,five,219
3,6,720,12/31/2012 8:59,six,219
3,7,620,12/31/2012 8:59,seven,219
3,8,860,12/31/2012 8:59,eight,219
3,10,950,12/31/2012 8:59,ten,219
3,11,880,12/31/2012 8:59,eleven,219
3,12,910,12/31/2012 8:59,twelve,219
3,13,850,12/31/2012 8:59,thirteen,219
3,14,870,12/31/2012 8:59,fourteen,219
3,15,840,12/31/2012 8:59,fifteen,219
3,16,840,12/31/2012 8:59,sixteen,219
3,17,850,12/31/2012 8:59,seventeen,219
3,18,840,12/31/2012 8:59,eighteen,219
3,19,840,12/31/2012 8:59,nineteen,219
3,20,840,6/5/2013 12:27,twenty,219
4,1,890,6/5/2013 12:27,one,219
4,1,810,6/5/2013 12:27,two,100
4,3,810,6/5/2013 12:27,three,100
4,4,820,6/5/2013 12:27,four,100
4,5,800,3/20/2013 17:50,five,100
4,6,770,3/20/2013 17:50,six,100
4,7,760,3/20/2013 17:50,seven,219
4,8,740,3/20/2013 17:50,eight,219
4,9,750,3/20/2013 17:50,nine,219
4,10,760,3/20/2013 17:50,ten,219
4,11,910,3/20/2013 17:50,eleven,219
4,12,920,3/20/2013 17:50,twelve,219
4,13,890,3/20/2013 17:50,thirteen,219
4,14,860,3/20/2013 17:50,fourteen,219
4,15,880,3/20/2013 17:50,fifteen,219
4,16,720,3/20/2013 17:50,sixteen,219
4,17,840,3/20/2013 17:50,seventeen,219
4,18,850,3/20/2013 17:50,eighteen,219
4,19,850,3/20/2013 17:50,nineteen,219
4,20,780,3/20/2013 17:50,twenty,219
5,1,890,3/20/2013 17:50,one,219
5,5,840,3/20/2013 17:50,two,219
5,3,780,3/20/2013 17:50,three,219
5,4,810,3/20/2013 17:50,four,219
5,5,760,3/20/2013 17:50,five,219
5,6,810,2/25/2013 8:39,six,219
5,7,790,2/25/2013 8:39,seven,219
5,8,810,2/25/2013 8:39,eight,219
5,9,820,2/25/2013 8:39,nine,219
5,10,850,2/25/2013 8:39,ten,219
5,11,870,2/25/2013 8:39,eleven,219
5,12,870,2/25/2013 8:39,twelve,219
5,13,810,2/25/2013 8:39,thirteen,219
5,14,740,2/25/2013 8:39,fourteen,219
5,15,810,2/25/2013 8:39,fifteen,219
5,16,940,2/25/2013 8:39,sixteen,219
5,17,950,2/25/2013 8:39,seventeen,219
5,18,800,2/25/2013 8:39,eighteen,219
5,19,810,2/25/2013 8:39,nineteen,219
5,20,870,2/25/2013 8:39,twenty,219
3,9,970,12/31/2012 8:59,nine,219
